What is your current class year or status?,Are you an international student on an F1 Visa?,Did you participate in an internship May-August 2016?,Please tell us about your PRIMARY internship,Where was the internship:  State?,Where was the internship:  City? ,Choose one area which best describes the NATURE OF THE WORK YOU WERE DOING:,how many hours per week did you work?,Was the internship paid? 
Rising Senior,No,No,,,,,,
Rising Junior,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Sophomore,Yes,Yes,Nastrac Group,,Singapore,Other,30+,Unpaid
Rising Sophomore,No,No,,,,,,
Rising Sophomore,Yes,No,,,,,,
Rising Junior,No,Yes,US House of Representatives and Senate,Washington D.C.,DC,"Public Policy, Government and Law",30+,Unpaid
Rising Junior,No,Yes,Dailey Law,Colorado,Colorado Springs,"Public Policy, Government and Law",15-29,Paid hourly wage
Rising Sophomore,No,Yes,Roundup River Ranch Camp - Serious Fun,Colorado,Gypsum,Community Organizations/Non-Profits,30+,Paid hourly wage
Rising Junior,No,No,,,,,,
Rising Junior,No,Yes,The Salvation Army,Illinois,Chicago,Community Organizations/Non-Profits,under 15,Unpaid
Rising Junior,No,Yes,Courage Kenny Rehabilitation Institute ,Minnesota,,Healthcare,under 15,Unpaid
Rising Junior,Yes,Yes,Plaza Home Mortgage,Colorado,Denver,"Finance, Real Estate and Insurance",15-29,Paid hourly wage
Rising Senior,No,No,,,,,,
,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Junior,No,Yes,Promus Capital Holdings,Illinois,Chicago,"Finance, Real Estate and Insurance",30+,Paid a stipend
Other,No,Yes,,,,,,
Rising Senior,No,Yes,Marquee Brands,New York,New York,"Arts, Media and Communications",30+,Unpaid
Rising Junior,No,Yes,Amigos de las Amercias,Outside the U.S.,"Matagalpa, Nicaragua",Community Organizations/Non-Profits,30+,Unpaid
Rising Sophomore,Yes,Yes,,,,,,
Rising Senior,No,Yes,,,,,,
Rising Senior,No,Yes,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Junior,Yes,Yes,,,,,,
Rising Junior,No,Yes,,,,,,
Rising Senior,No,No,,,,,,
Rising Sophomore,No,Yes,St. Croix River Association,Wisconsin,St. Croix Falls,Community Organizations/Non-Profits,30+,Paid hourly wage
Rising Sophomore,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Senior,No,Yes,United States Olympic Committee,Colorado,Colorado Springs,"Consulting, Management and Human Resources",30+,Paid hourly wage
Rising Senior,No,Yes,Sunshine Sachs,Washington D.C.,Washington,"Consulting, Management and Human Resources",15-29,Unpaid
Rising Junior,Yes,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Other,Yes,No,,,,,,
Rising Junior,No,Yes,Stanford Cardiothoracic Surgical Skills Internship,California,"Stanford, CA",Healthcare,30+,Unpaid
Rising Senior,No,No,,,,,,
Rising Senior,No,Yes,Earnest,California,San Francisco,"Finance, Real Estate and Insurance",30+,Paid hourly wage
Rising Junior,No,Yes,The S3 Agency,New Jersey,Boonton,"Arts, Media and Communications",30+,Paid a stipend
Other,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Senior,No,Yes,Columbia University Medical Center,New York,New York City,Healthcare,30+,Unpaid
Rising Junior,No,Yes,SWAIA,New Mexico,Santa Fe,"Arts, Media and Communications",15-29,Unpaid
Rising Junior,No,Yes,,,,,,
,,,,,,,,
Rising Senior,No,Yes,,,,,,
Rising Junior,No,Yes,,,,,,
